source_channel,source_index,video_title,primary_pattern_grammar,secondary_pattern_grammars,url,duration_hms,fit_status,score,reason
Ali Abdaal,211,My Productivity Desk Setup (Portable),Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework; Tool Review / Gear Recommendation,https://www.youtube.com/watch?v=r_uKCIqf1Fg,5:09,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,212,How to Find a Career You Genuinely Love,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=O3m14PVOq_g,12:41,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,213,How Much Money I Made as a YouTuber & Entrepreneur (2022),Creator Business Playbook,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=KvDHMeJJ_cY,46:15,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,214,My Regrets about Quitting Medicine,Study / Exam Success Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=gerkxmXAhdI,48:30,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,215,How to Become Luckier - An Evidence-Based Guide,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=WizT_VdtOYM,12:42,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,216,How I Failed in 2022,Personal Challenge / Experiment,,https://www.youtube.com/watch?v=knPdMQ44jKc,40:02,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Personal Challenge / Experiment.
Ali Abdaal,217,15 Incredible Books to Read in 2026,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=N24X8kK7H4Q,25:18,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,218,Why You're Always Tired - 7 Myths Ruining Your Sleep,Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=qlf9-573MhI,11:05,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,219,12 cheap purchases to boost your productivity,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=Uri24Z3oc74,15:05,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,220,How to Make Difficult Decisions (without overthinking),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=XILu7hxDr2w,16:42,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,221,Follow Your Passion is Terrible Advice. Here’s Why.,Reflective Life Essay,,https://www.youtube.com/watch?v=dE-wvWdM6jY,18:35,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Reflective Life Essay.
Ali Abdaal,222,12 Productivity Myths Wasting Your Time,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=qc4GU_wHdqw,19:18,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,223,How to Become a Digital Nomad,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=bH4RKOqAe-w,16:47,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,224,How to Be Confident on Camera (5 Tips),Evidence-Based Self-Improvement Essay,Tool Review / Gear Recommendation,https://www.youtube.com/watch?v=Y11SX2oHmw8,10:30,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,225,How To Build A Life You Love,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=EwSD4uCSX_M,24:02,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,226,A Day in My Life as a YouTuber,Creator Business Playbook,Day-in-the-Life / Identity Vlog,https://www.youtube.com/watch?v=HIlZ-rW7dXA,9:22,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,227,I Asked 15 Experts For Life Advice. Here's What I Learned.,Study / Exam Success Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=pNMBZHoNBWg,15:26,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,228,8 Evidence-Based Tips that Helped Me Find Love,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=h-mxesCotgs,15:41,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,229,How To Manage Your Time As A Student,Study / Exam Success Playbook,,https://www.youtube.com/watch?v=BsLC5eIjcag,14:15,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,230,My Ultimate Productive Morning Routine,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework; Day-in-the-Life / Identity Vlog,https://www.youtube.com/watch?v=5gT0x0EO9_8,10:22,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,231,How to Retire in 10 Years (starting with $0),Wealth / Career Strategy Essay,Interview / Conversation,https://www.youtube.com/watch?v=ZaCNnliEW9A,14:43,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,232,My London Studio Tour (2022),Day-in-the-Life / Identity Vlog,,https://www.youtube.com/watch?v=DSTRL-bMOwY,32:08,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Day-in-the-Life / Identity Vlog.
Ali Abdaal,233,I Designed My Dream Product,Personal Challenge / Experiment,,https://www.youtube.com/watch?v=rBp73KG1Ej0,6:43,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Personal Challenge / Experiment.
Ali Abdaal,234,I Journaled Everyday for 90 Days. Here’s What I Learned.,Study / Exam Success Playbook,,https://www.youtube.com/watch?v=JHKiDe8E4hY,19:28,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,235,How To Find The Perfect Career - The 3 Part Decision Framework,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=lJ6n52Lsjfo,14:45,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,236,How to Earn Money Doing What You Love,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=dPOX5SxcWUo,14:19,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,237,27 Critical Apps That Shaped My Life,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework; Tool Review / Gear Recommendation,https://www.youtube.com/watch?v=-rbbOf5upaU,27:03,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,238,How I Stopped Overthinking,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=mWQTgSt7GeU,13:08,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,239,How I Manage My Time - The System That Changed My Life,Personal Operating System / Productivity Framework,Reflective Life Essay,https://www.youtube.com/watch?v=ombpvrlglfU,16:22,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,240,The Best Book I've Ever Read about Morality,Book Lessons / Reading Canon,Reflective Life Essay,https://www.youtube.com/watch?v=Zi5gD9Mh29A,12:11,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,241,Why You're Not Happy and What To Do About It,Reflective Life Essay,,https://www.youtube.com/watch?v=npkwUeQYGj8,14:31,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Reflective Life Essay.
Ali Abdaal,242,How I Make $4 Million Per Year - The CBM Framework,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=sV5eDJib4HE,19:28,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,243,How to Start an Email Newsletter,Creator Business Playbook,,https://www.youtube.com/watch?v=ozWseKZV6Ac,13:53,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,244,5 Mistakes Procrastinators Make (And How To Avoid Them...),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=t0VqCDP0rnQ,7:33,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,245,How To Spend Money to Buy Happiness,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=wsT2bBo4XT8,12:15,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,246,28 Life Lessons from 28 Years in 28 Minutes,Book Lessons / Reading Canon,Reflective Life Essay,https://www.youtube.com/watch?v=AtfoKoiIW-s,27:39,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,247,How Much YouTube Paid Me For 10M Views,Creator Business Playbook,,https://www.youtube.com/watch?v=7P6RArpBwDk,16:17,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,248,How to Make Productivity More Fun,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=ELavuz3btaE,12:20,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,249,How to Build Your Ultimate Productivity System,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework,https://www.youtube.com/watch?v=T6hmdrsLQj8,18:16,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,250,You’re Saving for a Life You’ll Never Live,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=kQA27U_K_UE,12:06,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,251,My Evidence-Based Skincare Routine,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework,https://www.youtube.com/watch?v=OrElyY7MFVs,14:05,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,252,How to Organise your Life - Building a Second Brain,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework,https://www.youtube.com/watch?v=K-ssUVyfn5g,15:21,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,253,"I Read 2,216 Resumes. Here’s How You Stand Out 🚀",Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=MqXjqOy-TA8,29:31,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,254,The Secret To Making The PERFECT Coffee,Tool Review / Gear Recommendation,,https://www.youtube.com/watch?v=bg242QzbfNc,17:52,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Tool Review / Gear Recommendation.
Ali Abdaal,255,Why Buying Is Not Always Better Than Renting,Reflective Life Essay,,https://www.youtube.com/watch?v=ngWZaSbw130,19:02,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Reflective Life Essay.
Ali Abdaal,256,"Life Is 4,000 Weeks. You’re Already Burning Through Them.",Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=WqBkyS83b44,15:50,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,257,What Am I Doing With My Life?,Interview / Conversation,Minimalist Curiosity Hook,https://www.youtube.com/watch?v=IhfxUm3cmuM,42:38,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Interview / Conversation.
Ali Abdaal,258,My $2.4m London Apartment Tour,Wealth / Career Strategy Essay,Day-in-the-Life / Identity Vlog,https://www.youtube.com/watch?v=ZazwqwjDY6M,31:19,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,259,How to Invest as a Teenager,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=YuCRDlEFaw4,22:26,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,260,Who is Ali Abdaal? | Channel Trailer,Creator Business Playbook,,https://www.youtube.com/watch?v=MN1CR7PE0LQ,0:55,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Creator Business Playbook.
Ali Abdaal,261,My 4-Step Framework for Learning With Audiobooks,Book Lessons / Reading Canon,Study / Exam Success Playbook; Interview / Conversation,https://www.youtube.com/watch?v=seXu3jYxs0Y,15:34,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,262,Real-Time Study With Me - 2 Hours With Music,Study / Exam Success Playbook,,https://www.youtube.com/watch?v=cTH824WnA3U,1:57:50,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,263,This Book Made Me a Happier Person,Book Lessons / Reading Canon,Reflective Life Essay,https://www.youtube.com/watch?v=Bf4Hs5E9eNg,19:03,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,264,My Complete Productivity System,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework,https://www.youtube.com/watch?v=tQSKyvjsUuI,20:12,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,265,The Biggest Lessons from 110 Books,Book Lessons / Reading Canon,Reflective Life Essay,https://www.youtube.com/watch?v=UlIDxrK43ko,31:32,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,266,The Best Headphones To Buy in 2026 🎧,Tool Review / Gear Recommendation,,https://www.youtube.com/watch?v=sBba4MGPc2U,14:26,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Tool Review / Gear Recommendation.
Ali Abdaal,267,"Which iPad Should You Buy? (Basic, Mini, Air, Pro or Pro 12.9)",Personal Operating System / Productivity Framework,Tool Review / Gear Recommendation,https://www.youtube.com/watch?v=mVR_nLBeS24,19:42,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,268,How To Start a YouTube Channel - Beginner’s Guide to YouTube,Creator Business Playbook,,https://www.youtube.com/watch?v=XpopyNZKYKw,31:41,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,269,5 Financial Mistakes I've Made In The Last 10 Years,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=06aaT3kZdkE,16:51,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,270,How I Ranked 1st at Cambridge University - 20 Study Tips,Study / Exam Success Playbook,,https://www.youtube.com/watch?v=76yqErAib5g,22:11,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,271,7 Side Hustles You Can Start This Year,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=4V2ZwgJw62I,22:33,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,272,My Everyday Carry 2022,Personal Operating System / Productivity Framework,Tool Review / Gear Recommendation,https://www.youtube.com/watch?v=pPKJ_Pk9zZs,14:00,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,273,How to Make Money Online,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=COhm-736828,37:44,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,274,20 Podcasts That Changed My Life (and Business),Wealth / Career Strategy Essay,Reflective Life Essay; Interview / Conversation,https://www.youtube.com/watch?v=6x1i0K4Eg1g,17:09,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,275,"Reviewing Kindles - Standard, Paperwhite, Signature, Oasis",Tool Review / Gear Recommendation,,https://www.youtube.com/watch?v=nQggHK36gK8,13:32,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Tool Review / Gear Recommendation.
Ali Abdaal,276,My New Life Goals (2022),Life Update / Personal Milestone,Evidence-Based Self-Improvement Essay,https://www.youtube.com/watch?v=FJwp5RBLQcs,21:16,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Life Update / Personal Milestone.
Ali Abdaal,277,15 Books To Read to Change Your Life,Book Lessons / Reading Canon,Evidence-Based Self-Improvement Essay,https://www.youtube.com/watch?v=lCrMAtbBUJA,23:18,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,278,21 Life Lessons I've Learned,Study / Exam Success Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=6Dvkq5yAvcA,27:37,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,279,How Much Money I Spend as a YouTuber (2021),Creator Business Playbook,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=7hVqxhZaxtk,21:27,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,280,How Much Money I Make as a YouTuber (2021)💰,Creator Business Playbook,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=Toz7XEsSH_o,37:20,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,281,The Book That Changed My Financial Life 🤑,Book Lessons / Reading Canon,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=Gg8_TA7U0Uw,16:54,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,282,Reflecting On My Fears - Day in the Life,Day-in-the-Life / Identity Vlog,,https://www.youtube.com/watch?v=HPcIwHwZIhI,19:15,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Day-in-the-Life / Identity Vlog.
Ali Abdaal,283,Why I Left Medicine... Forever,Study / Exam Success Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=mZOVLrLXKCE,43:17,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,284,How I Run this YouTube Channel - Day in the Life,Creator Business Playbook,Day-in-the-Life / Identity Vlog,https://www.youtube.com/watch?v=F7JMKzBr8HY,14:21,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,285,This Book Changed my Love Life,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=kM0ZADKIXU8,20:21,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,286,8 Lessons I Learned From Elon Musk,Study / Exam Success Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=wlvxviP-xNg,15:19,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,287,Everything's Changing - Life Update,Life Update / Personal Milestone,,https://www.youtube.com/watch?v=3monI2ExCJU,43:56,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Life Update / Personal Milestone.
Ali Abdaal,288,The Best Book I've Ever Read about Making Money,Book Lessons / Reading Canon,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=Gx2vyi4JcV0,19:00,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,289,How to ‘Read’ 1000 Books a Year,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=XiGaXVJHwhc,9:42,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,290,Why Positive Thinking is Bad for You,Reflective Life Essay,,https://www.youtube.com/watch?v=qfeQt02cg6I,10:54,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,291,A Productive 72 Hours in Monaco - Day in the Life Vlog,Evidence-Based Self-Improvement Essay,Day-in-the-Life / Identity Vlog,https://www.youtube.com/watch?v=gtXHePXjVlE,9:40,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,292,How to Make Productivity Healthier,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=I9m00NGPwgg,19:17,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,293,The Easy Way to Achieve Your Goals,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=_D_C2-2FZ5w,8:41,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,294,My Journey of Self-Acceptance,Life Update / Personal Milestone,Reflective Life Essay,https://www.youtube.com/watch?v=6cXQ6zk0Nrk,6:58,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Life Update / Personal Milestone.
Ali Abdaal,295,The Best Productivity Hacks of All Time,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=4aYVLpY5FYU,14:40,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,296,We broke up…,Life Update / Personal Milestone,,https://www.youtube.com/watch?v=0l5tcF6Rao0,24:34,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Life Update / Personal Milestone.
Ali Abdaal,297,How to Start a Business from Nothing,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=awnn-bqV_Tw,16:25,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,298,My Most Important Weekly Habit,Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework,https://www.youtube.com/watch?v=nAXY89s0t4E,11:38,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,299,10 Rules I Follow Everyday,Personal Operating System / Productivity Framework,,https://www.youtube.com/watch?v=eGdn6FTIF5I,13:52,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,300,I was an imposter for a day...here's what I learned.,Study / Exam Success Playbook,,https://www.youtube.com/watch?v=TpBhsfreU5Q,8:46,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,301,Revealing ALL My Investments at 27,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=MgI6iquuuzA,25:55,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,302,How I Work for 15 hours and Not Get Bored,,,https://www.youtube.com/watch?v=N282bXQYRFc,8:09,partial_heygen_fit,0,HeyGen grammar captures a surface signal but misses the real viewer job. Title is too opaque from title alone or belongs to archive/performance material.
Ali Abdaal,303,"Dating, Regrets and Boxing - 2 Million Subscriber Q&A",Q&A / Community Relationship,Reflective Life Essay,https://www.youtube.com/watch?v=dxRmw5ZumU0,26:27,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Q&A / Community Relationship.
Ali Abdaal,304,The Greatest Enemy of Success - Ego is the Enemy,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=9DH4pAg1qaQ,15:41,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,305,The Mindset Shift That Changed My Life,Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=L11WCsRqrIg,9:44,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,306,How I Created a $3 Million Business Part Time,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=pcvcKIHGtGs,16:12,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,307,12 Evidence Based Tips to Improve Your Sleep,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=Oq4c-_iAzQo,8:54,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,308,Answering Uncomfortable Questions With My Personal Assistant,Q&A / Community Relationship,Interview / Conversation,https://www.youtube.com/watch?v=dlKBmzQbiyU,24:45,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Q&A / Community Relationship.
Ali Abdaal,309,How much I spend in a month...,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=V7342SesjCs,11:29,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
